respMat_ 1,respMat_ 2,respMat_ 3,respMat_ 4,respMat_ 5,respMat_ 6,respMat_ 7,respMat_ 8,respMat_ 9,respMat_10,respMat_11
14,7,1,1025.avi,oneeighty,sin-oneeighty-4Hz-orch24.wav,180,orch,5,1.75205279101465,9838.1272550816
14,7,2,1005.avi,zero,sin-zero-4Hz-orch1.wav,0,orch,3,1.4108784867858,9846.00409063947
14,7,3,1125.avi,oneeighty,sin-oneeighty-4Hz-yann16.wav,180,yann,5,1.23773162857469,9853.92109482187
14,7,4,1180.avi,oneeighty,sin-oneeighty-4Hz-acoustic23.wav,180,acoustic,5,1.43736696969245,9861.06504934819
14,7,5,1049.avi,zero,sin-zero-4Hz-synth8.wav,0,synth,5,1.28272232343261,9867.91563640974
14,7,6,1166.avi,zero,sin-zero-4Hz-acoustic8.wav,0,acoustic,4,1.38690548603336,9874.81966984485
14,7,7,1121.avi,oneeighty,sin-oneeighty-4Hz-yann14.wav,180,yann,5,0.941001936495013,9881.6171634188
14,7,8,1039.avi,oneeighty,sin-oneeighty-4Hz-orch20.wav,180,orch,4,1.80983311120872,9887.10832783678
14,7,9,1023.avi,zero,sin-zero-4Hz-orch6.wav,0,orch,3,1.19148183422112,9895.3985552505
14,7,10,1188.avi,oneeighty,sin-oneeighty-4Hz-acoustic18.wav,180,acoustic,5,1.0313051195626,9902.34260546958
14,7,11,1058.avi,zero,sin-zero-4Hz-synth3.wav,0,synth,5,1.59384064588085,9909.21996779048
14,7,12,1073.avi,oneeighty,sin-oneeighty-4Hz-synth23.wav,180,synth,5,0.966914149699733,9915.67088328652
14,7,13,1167.avi,zero,sin-zero-4Hz-acoustic3.wav,0,acoustic,5,1.52365769760763,9921.32205446639
14,7,14,1105.avi,zero,sin-zero-4Hz-yann10.wav,0,yann,5,1.62453900687797,9927.97306595707
14,7,15,1083.avi,oneeighty,sin-oneeighty-4Hz-synth16.wav,180,synth,5,1.22438444947329,9934.11715753233
14,7,16,1106.avi,zero,sin-zero-4Hz-yann2.wav,0,yann,5,1.38946926737663,9940.68798119954
