respMat_ 1,respMat_ 2,respMat_ 3,respMat_ 4,respMat_ 5,respMat_ 6,respMat_ 7,respMat_ 8,respMat_ 9,respMat_10,respMat_11
8,6,1,1001.avi,zero,sin-zero-4Hz-orch4.wav,0,orch,5,1.25265939864494,7202.64886187488
8,6,2,1123.avi,oneeighty,sin-oneeighty-4Hz-yann14.wav,180,yann,2,1.65537683178445,7209.80615844851
8,6,3,1098.avi,zero,sin-zero-4Hz-yann4.wav,0,yann,5,1.22604624345422,7217.20335377496
8,6,4,1155.avi,zero,sin-zero-4Hz-acoustic1.wav,0,acoustic,4,1.39642525624913,7223.84089250865
8,6,5,1174.avi,oneeighty,sin-oneeighty-4Hz-acoustic15.wav,180,acoustic,5,1.41490180925757,7230.43830186088
8,6,6,1032.avi,oneeighty,sin-oneeighty-4Hz-orch24.wav,180,orch,2,1.17977652568879,7236.48933448245
8,6,7,1119.avi,zero,sin-zero-4Hz-yann7.wav,0,yann,2,1.15799600626087,7243.08697385957
8,6,8,1161.avi,zero,sin-zero-4Hz-acoustic5.wav,0,acoustic,3,1.81420116914251,7250.63073941531
8,6,9,1067.avi,zero,sin-zero-4Hz-synth10.wav,0,synth,5,1.19813897186123,7257.61474000697
8,6,10,1059.avi,zero,sin-zero-4Hz-synth8.wav,0,synth,4,1.13361517922749,7263.47913459928
8,6,11,1183.avi,oneeighty,sin-oneeighty-4Hz-acoustic24.wav,180,acoustic,1,1.17319576114187,7269.82347733032
8,6,12,1086.avi,oneeighty,sin-oneeighty-4Hz-synth18.wav,180,synth,5,1.96770142648711,7276.42089332369
8,6,13,1141.avi,oneeighty,sin-oneeighty-4Hz-yann20.wav,180,yann,3,1.5648698865125,7283.07168082688
8,6,14,1033.avi,oneeighty,sin-oneeighty-4Hz-orch17.wav,180,orch,2,2.14306038757059,7289.30939373952
8,6,15,1083.avi,oneeighty,sin-oneeighty-4Hz-synth23.wav,180,synth,2,1.27667918923726,7297.39964107665
8,6,16,1022.avi,zero,sin-zero-4Hz-orch6.wav,0,orch,2,1.53010473377344,7304.81016486626
