respMat_ 1,respMat_ 2,respMat_ 3,respMat_ 4,respMat_ 5,respMat_ 6,respMat_ 7,respMat_ 8,respMat_ 9,respMat_10,respMat_11
6,10,1,1056.avi,zero,sin-zero-4Hz-orch2.wav,0,orch,5,2.27254862007248,11345.9139547345
6,10,2,1079.avi,oneeighty,sin-oneeighty-4Hz-orch14.wav,180,orch,2,1.51551993479552,11354.3108333899
6,10,3,1103.avi,zero,sin-zero-4Hz-synth1.wav,0,synth,2,3.014003486609,11361.1882680915
6,10,4,1060.avi,zero,sin-zero-4Hz-orch1.wav,0,orch,5,1.37988121382296,11369.9183623507
6,10,5,1021.avi,zero,sin-zero-4Hz-guitar3.wav,0,guitar,5,1.26783520870595,11377.1423336126
6,10,6,1126.avi,oneeighty,sin-oneeighty-4Hz-synth22.wav,180,synth,2,2.36909808538439,11384.312990559
6,10,7,1170.avi,oneeighty,sin-oneeighty-4Hz-yann18.wav,180,yann,5,1.61708317296507,11391.5769307282
6,10,8,1097.avi,zero,sin-zero-4Hz-synth11.wav,0,synth,3,2.98236832770999,11399.0275746942
6,10,9,1013.avi,zero,sin-zero-4Hz-guitar2.wav,0,guitar,4,1.82833933301663,11407.837555148
6,10,10,1048.avi,oneeighty,sin-oneeighty-4Hz-guitar13.wav,180,guitar,1,2.07595945874527,11414.2618714483
6,10,11,1027.avi,oneeighty,sin-oneeighty-4Hz-guitar20.wav,180,guitar,4,3.44687239164705,11422.1788808138
6,10,12,1131.avi,oneeighty,sin-oneeighty-4Hz-synth16.wav,180,synth,1,2.41032186978919,11431.7753374539
6,10,13,1148.avi,zero,sin-zero-4Hz-yann12.wav,0,yann,3,2.85091081980499,11440.5586907861
6,10,14,1080.avi,oneeighty,sin-oneeighty-4Hz-orch18.wav,180,orch,4,1.77639460556748,11448.5291216313
6,10,15,1162.avi,zero,sin-zero-4Hz-yann4.wav,0,yann,5,1.20042986408225,11455.9130131993
6,10,16,1177.avi,oneeighty,sin-oneeighty-4Hz-yann17.wav,180,yann,4,2.17092863018479,11462.7504708431
