respMat_ 1,respMat_ 2,respMat_ 3,respMat_ 4,respMat_ 5,respMat_ 6,respMat_ 7,respMat_ 8,respMat_ 9,respMat_10,respMat_11,respMat_12
1,1,1,1060-sin-4Hz-ninety.avi,zero-4Hz,sin-zero-4Hz-dar5.wav,Theta,0,dar,2,2,7.99955305410549e-05
1,1,2,1065-sin-4Hz-ninety.avi,zero-4Hz,sin-zero-4Hz-dar17.wav,Theta,0,dar,2,2,0.265148059654166
1,1,3,1059-sin-4Hz-ninety.avi,oneeighty-4Hz,sin-oneeighty-4Hz-dar24.wav,Theta,180,dar,1,2,0.38467527096509
1,1,4,1062-sin-4Hz-ninety.avi,oneeighty-4Hz,sin-oneeighty-4Hz-dar23.wav,Theta,180,dar,1,2,0.469596716859087
1,1,5,1128-sin-4Hz-ninety.avi,zero-4Hz,sin-zero-4Hz-orch6.wav,Theta,0,orch,2,2,0.516887358746317
1,1,6,1136-sin-4Hz-ninety.avi,zero-4Hz,sin-zero-4Hz-orch5.wav,Theta,0,orch,2,2,0.615615127906494
1,1,7,1141-sin-4Hz-ninety.avi,oneeighty-4Hz,sin-oneeighty-4Hz-orch11.wav,Theta,180,orch,1,2,0.572979622273124
1,1,8,1135-sin-4Hz-ninety.avi,oneeighty-4Hz,sin-oneeighty-4Hz-orch24.wav,Theta,180,orch,1,2,8.01831535446399
1,1,9,1005-sin-4Hz-ninety.avi,zero-4Hz,sin-zero-4Hz-acoustic5.wav,Theta,0,acoustic,2,2,0.569855570334767
1,1,10,1001-sin-4Hz-ninety.avi,zero-4Hz,sin-zero-4Hz-acoustic18.wav,Theta,0,acoustic,2,2,0.393669787496037
1,1,11,1014-sin-4Hz-ninety.avi,oneeighty-4Hz,sin-oneeighty-4Hz-acoustic24.wav,Theta,180,acoustic,1,2,0.601343019334308
1,1,12,1022-sin-4Hz-ninety.avi,oneeighty-4Hz,sin-oneeighty-4Hz-acoustic12.wav,Theta,180,acoustic,1,2,0.550342999711575
1,1,13,1094-sin-4Hz-ninety.avi,zero-4Hz,sin-zero-4Hz-ep18.wav,Theta,0,ep,2,2,0.39279104412708
1,1,14,1093-sin-4Hz-ninety.avi,zero-4Hz,sin-zero-4Hz-ep5.wav,Theta,0,ep,2,2,0.243244679164491
1,1,15,1085-sin-4Hz-ninety.avi,oneeighty-4Hz,sin-oneeighty-4Hz-ep12.wav,Theta,180,ep,1,2,0.616021444839134
1,1,16,1091-sin-4Hz-ninety.avi,oneeighty-4Hz,sin-oneeighty-4Hz-ep24.wav,Theta,180,ep,1,2,0.679529445151275
1,1,17,1162-sin-4Hz-ninety.avi,zero-4Hz,sin-zero-4Hz-synth5.wav,Theta,0,synth,2,2,0.665974579533213
1,1,18,1146-sin-4Hz-ninety.avi,zero-4Hz,sin-zero-4Hz-synth6.wav,Theta,0,synth,2,2,1.58062568581227
1,1,19,1160-sin-4Hz-ninety.avi,oneeighty-4Hz,sin-oneeighty-4Hz-synth23.wav,Theta,180,synth,1,2,2.93774626926461
1,1,20,1164-sin-4Hz-ninety.avi,oneeighty-4Hz,sin-oneeighty-4Hz-synth11.wav,Theta,180,synth,1,2,0.871897871358669
1,1,21,1043-sin-4Hz-ninety.avi,zero-4Hz,sin-zero-4Hz-choir6.wav,Theta,0,choir,2,2,0.762501415010775
1,1,22,1047-sin-4Hz-ninety.avi,zero-4Hz,sin-zero-4Hz-choir17.wav,Theta,0,choir,2,2,0.52230773527117
1,1,23,1044-sin-4Hz-ninety.avi,oneeighty-4Hz,sin-oneeighty-4Hz-choir24.wav,Theta,180,choir,1,1,0.370521193530294
1,1,24,1041-sin-4Hz-ninety.avi,oneeighty-4Hz,sin-oneeighty-4Hz-choir11.wav,Theta,180,choir,1,1,0.364554734303965
