respMat_ 1,respMat_ 2,respMat_ 3,respMat_ 4,respMat_ 5,respMat_ 6,respMat_ 7,respMat_ 8,respMat_ 9,respMat_10,respMat_11
3,6,1,1132.avi,oneeighty,sin-oneeighty-4Hz-synth19.wav,180,synth,1,2.25624997169871,24834.4983754919
3,6,2,1032.avi,oneeighty,sin-oneeighty-4Hz-guitar16.wav,180,guitar,1,1.72072013873913,24843.1218107915
3,6,3,1018.avi,zero,sin-zero-4Hz-guitar1.wav,0,guitar,2,3.10991805765298,24850.0524437052
3,6,4,1104.avi,zero,sin-zero-4Hz-synth12.wav,0,synth,1,1.25200116521228,24859.5822027081
3,6,5,1187.avi,oneeighty,sin-oneeighty-4Hz-yann23.wav,180,yann,3,1.81195431514061,24866.4862445833
3,6,6,1086.avi,oneeighty,sin-oneeighty-4Hz-orch19.wav,180,orch,5,1.71092992261765,24874.7231178844
3,6,7,1069.avi,zero,sin-zero-4Hz-orch4.wav,0,orch,1,0.801013978045376,24881.0808836914
3,6,8,1020.avi,zero,sin-zero-4Hz-guitar3.wav,0,guitar,4,1.71555817846092,24887.7582143844
3,6,9,1157.avi,zero,sin-zero-4Hz-yann1.wav,0,yann,2,2.44875909191614,24894.6089063436
3,6,10,1144.avi,oneeighty,sin-oneeighty-4Hz-synth20.wav,180,synth,1,2.04322221031543,24901.6463462528
3,6,11,1040.avi,oneeighty,sin-oneeighty-4Hz-guitar14.wav,180,guitar,3,2.05653886035361,24908.576973431
3,6,12,1190.avi,oneeighty,sin-oneeighty-4Hz-yann24.wav,180,yann,2,2.17913028515977,24915.8142596889
3,6,13,1060.avi,zero,sin-zero-4Hz-orch7.wav,0,orch,4,1.795291446997,24923.5979998159
3,6,14,1117.avi,zero,sin-zero-4Hz-synth4.wav,0,synth,3,4.16841514235421,24930.5686638824
3,6,15,1149.avi,zero,sin-zero-4Hz-yann7.wav,0,yann,2,2.74537619671901,24940.4315634249
3,6,16,1087.avi,oneeighty,sin-oneeighty-4Hz-orch21.wav,180,orch,4,5.81516861648925,24949.3216022
