respMat_ 1,respMat_ 2,respMat_ 3,respMat_ 4,respMat_ 5,respMat_ 6,respMat_ 7,respMat_ 8,respMat_ 9,respMat_10,respMat_11
1,12,1,1096.avi,oneeighty,sin-oneeighty-4Hz-synth22.wav,180,synth,3,0.656305213729866,11641.5243093614
1,12,2,1060.avi,zero,sin-zero-4Hz-synth10.wav,0,synth,5,0.645199452410452,11647.8152329146
1,12,3,1042.avi,oneeighty,sin-oneeighty-4Hz-orch21.wav,180,orch,1,0.322040513841785,11653.5863953669
1,12,4,1160.avi,zero,sin-zero-4Hz-acoustic1.wav,0,acoustic,1,0.555873390096167,11658.8643937942
1,12,5,1094.avi,oneeighty,sin-oneeighty-4Hz-synth24.wav,180,synth,2,0.771043817798272,11664.1290266686
1,12,6,1022.avi,zero,sin-zero-4Hz-orch3.wav,0,orch,3,0.202357597061564,11669.5136337634
1,12,7,1166.avi,zero,sin-zero-4Hz-acoustic7.wav,0,acoustic,1,0.678973162333932,11674.924934834
1,12,8,1141.avi,oneeighty,sin-oneeighty-4Hz-yann22.wav,180,yann,1,0.230911387858214,11681.7490001343
1,12,9,1112.avi,zero,sin-zero-4Hz-yann1.wav,0,yann,2,1.32354653839138,11687.16026649
1,12,10,1012.avi,zero,sin-zero-4Hz-orch1.wav,0,orch,3,0.315329965482306,11693.9842949623
1,12,11,1043.avi,oneeighty,sin-oneeighty-4Hz-orch23.wav,180,orch,4,1.29329503621739,11699.2622819185
1,12,12,1071.avi,zero,sin-zero-4Hz-synth12.wav,0,synth,3,0.996741927645417,11705.1667107899
1,12,13,1137.avi,oneeighty,sin-oneeighty-4Hz-yann20.wav,180,yann,4,0.343131800544143,11711.5242837025
1,12,14,1120.avi,zero,sin-zero-4Hz-yann6.wav,0,yann,4,0.785162533829862,11717.282115317
1,12,15,1189.avi,oneeighty,sin-oneeighty-4Hz-acoustic23.wav,180,acoustic,2,1.03288953555966,11723.4663794886
1,12,16,1175.avi,oneeighty,sin-oneeighty-4Hz-acoustic14.wav,180,acoustic,4,0.299440485769082,11730.7436413555
