Response,Target,Correct,ReactionTime,PhaseDifference,PhaseBin
3,4,0,4.40803120108831,-177.627650343358,3
4,4,1,4.35564561287538,-149.865838488274,3
3,2,0,4.84985412223523,48.6931848515239,2
4,1,0,5.06297270659434,86.483292172432,2
2,2,1,4.18333808775606,-51.6127302110278,4
1,1,1,3.77030976196238,-164.131126977926,3
3,3,1,3.95686153762563,-107.849162063431,4
2,4,0,3.94360258459528,32.1867018901182,1
4,2,0,4.31661376428019,-170.982763676591,3
1,3,0,4.96976338068089,76.8059697120875,2
2,2,1,3.90350061354729,163.540891729664,3
4,3,0,6.1824352002368,-138.759884470897,3
2,4,0,4.14338523955485,-30.8992318253267,1
1,2,0,5.86266781980248,-89.5507258826859,4
1,2,0,4.60985388074096,-99.769988009988,4
2,4,0,7.10220922176813,-74.9201407868123,4
4,1,0,4.22325108936639,-11.9181715903007,1
2,2,1,3.03514046677901,-76.4213761873801,4
4,3,0,5.36957803366204,-176.306162625956,3
2,1,0,3.78345038269345,88.5818430801971,2
2,2,1,3.82346420825343,-49.5331795404485,4
3,3,1,3.73033608486094,21.1466394701019,1
4,4,1,4.26330838393369,41.6283984524609,1
1,2,0,4.19677755791781,-67.9317160874187,4
3,4,0,3.93012870146958,-63.2207195054276,4
2,2,1,4.03671561458032,59.284793899238,2
4,3,0,4.88980606483256,121.302258690807,2
4,1,0,4.74320351495226,-38.4638672185135,1
3,3,1,4.12997142818313,65.3528591543537,2
2,2,1,5.22279164610154,3.26213294536063,1
4,3,0,4.6232076203587,158.891411555576,3
1,1,1,3.50355494980704,-19.3225232108498,1
3,3,1,3.97000366769771,-124.293854512223,4
4,4,1,4.39659583331468,-81.2131952361101,4
2,2,1,4.07677260727996,176.693406453193,3
1,2,0,4.52989777236417,-148.375967766681,3
2,1,0,4.50330802169265,-116.602726298059,4
2,4,0,4.63652483393525,11.3807826396382,1
3,3,1,4.95637552996686,-138.191939508917,3
1,4,0,4.14333844999783,-97.5007749051359,4
2,4,0,5.36954452630107,-116.142916597781,4
4,3,0,4.15670698115264,13.547598604812,1
4,2,0,3.39710266987277,160.288441462392,3
1,2,0,4.23668512590211,-167.887718583869,3
3,4,0,6.16945215465876,42.6810715789668,1
3,1,0,4.60995591216215,-30.9528939221984,1
3,2,0,4.90318395389841,-19.0759740031217,1
1,1,1,4.90329685257166,-121.455229019786,4
2,2,1,6.38264258362869,-119.78085690528,4
3,3,1,4.99645516277451,19.0581368635179,1
4,3,0,6.11603025322165,-120.208108729992,4
1,3,0,3.45041831373419,71.4069195841736,2
4,1,0,4.30339435597216,179.19808245712,3
1,4,0,4.94332456406391,-124.220498142042,4
2,3,0,3.5170339646902,-125.824787418037,4
2,1,0,6.00924561649754,-82.5159868439592,4
4,3,0,4.29013419546845,107.659242710316,2
4,2,0,4.036799232048,-96.4013126572276,4
2,2,1,4.06351546545829,-18.5293200688005,1
2,2,1,4.71655399439442,-59.0659025100172,4
2,1,0,3.55707676958809,-129.141112948854,4
2,2,1,4.46322567207153,39.3603835492585,1
2,2,1,4.45011916243675,-176.531083075058,3
4,2,0,5.2630638707642,-175.255232437402,3
4,4,1,5.56953275344495,169.294933207694,3
1,4,0,4.30338982795092,-171.226659572676,3
3,3,1,3.53038166694569,140.430351000019,3
2,1,0,4.72987966027813,27.0750942157873,1
1,3,0,5.23627760395266,89.1319207299584,2
4,4,1,4.29011215909577,116.566861637188,2
1,4,0,5.47634516203561,-0.374100365363375,1
3,4,0,3.50377863407721,162.780961520153,3
2,2,1,3.79697014977228,-159.877608864,3
3,4,0,4.6632576700913,-130.719025297975,4
3,1,0,3.35712054046508,75.0573495072821,2
3,4,0,4.10340461948817,-139.121160691297,3
2,3,0,3.37046280909453,-169.547049919505,3
3,1,0,3.49045689247941,45.1512200110027,2
1,3,0,4.51655489999848,114.360700659137,2
4,2,0,5.39638844992169,165.125348357692,3
2,2,1,3.59694207603752,-130.770896161471,4
4,1,0,4.91641936121687,-117.734157225267,4
3,3,1,3.57025633130706,113.009543835852,2
3,3,1,4.10349397244863,49.5138965122872,2
1,4,0,5.04976416553836,32.6172453774815,1
3,3,1,4.91639340055917,20.9686431903349,1
2,2,1,6.3559206147238,-118.333175200508,4
1,3,0,3.47699297100098,48.7838174617194,2
2,4,0,4.6899310382305,-69.4921555030275,4
2,2,1,4.79631509597129,141.106938311807,3
2,4,0,4.54323762604872,-22.9212851036226,1
4,4,1,5.40935579835786,63.3182093144739,2
2,2,1,3.50361139914276,99.6769858025567,2
4,1,0,3.42363476373521,34.7333336136942,1
3,4,0,4.23659486733595,0.497511731566736,1
2,2,1,5.19636128179263,13.3254750297262,1
