Response,Target,Correct,ReactionTime,PhaseDifference,PhaseBin
3,3,1,4.34269698026401,155.016624806727,3
4,2,0,5.71606617552789,175.254429669239,3
2,2,1,5.16973047705687,-122.63804703174,4
2,2,1,4.62314211497687,174.116628881707,3
2,2,1,4.13008130817616,35.5899992717132,1
1,4,0,6.95565527265535,-174.430194242962,3
2,1,0,4.91639521176876,-115.257635850619,4
3,4,0,3.71692408469971,-97.8149069421124,4
1,1,1,3.65025439935016,-47.0307071135935,4
1,4,0,4.86310884911109,130.210538187475,2
4,2,0,4.34333180889917,-130.260837156134,4
1,1,1,3.78348207884483,-160.397079316802,3
4,1,0,5.3563456450247,-160.503965855963,3
3,3,1,3.890164382281,49.7874151606189,2
4,4,1,4.31676349086229,48.4509994693809,2
3,2,0,3.74357209591471,133.476605790848,2
1,3,0,4.3966604330908,-54.2896323492556,4
3,3,1,5.15609600009702,-136.538333480397,3
3,2,0,6.11585728279533,-78.5484262846967,4
2,2,1,5.9026230829495,-152.060602121071,3
4,4,1,4.8631179051572,174.904540575163,3
2,2,1,3.45030511319419,-80.9392314680974,4
3,3,1,4.80971924756341,42.9030964057579,1
4,1,0,6.72898673440613,146.617492298721,3
2,2,1,4.1967153730875,175.614097433091,3
3,1,0,3.78343559115456,-95.1873459977261,4
3,4,0,3.91688333250204,-149.873037169469,3
3,2,0,4.39661454913585,148.274500623362,3
2,2,1,6.11589169575927,-113.583166820941,4
3,1,0,4.62316384948281,-24.0266968195431,1
3,2,0,3.69016226920212,-91.7098345543139,4
3,3,1,4.3032207818087,123.061047693728,2
2,3,0,6.08924036399367,-175.544310558741,3
1,2,0,3.94346734768078,14.6445031183956,1
1,1,1,4.56992729506601,-81.6669861899088,4
4,1,0,4.29002401360776,-167.699539982775,3
1,4,0,6.31585999960771,-163.28409245829,3
3,4,0,5.20965796833661,-156.001018834422,3
4,3,0,4.27666514223165,33.8695916128946,1
3,3,1,6.92891368232267,71.478753274928,2
4,4,1,3.93013775751388,2.78283000155979,1
4,4,1,4.17019475021152,122.392652348309,2
2,2,1,6.30267772107618,143.710703211337,3
1,2,0,4.01019499170616,53.4903844917314,2
4,4,1,3.41037701817731,14.4697669668695,1
3,3,1,5.15640149062529,96.6352864663193,2
3,4,0,4.23678353490686,148.820467978874,3
3,1,0,5.42290243169919,-41.1294792991366,1
3,3,1,5.07640432818516,131.683737622865,2
3,4,0,6.40927459583691,62.5800797323119,2
2,3,0,6.39592176182305,-72.6671693306441,4
3,2,0,4.72970457677366,55.8294975959682,2
1,1,1,4.75661732632398,-167.226681699166,3
3,1,0,4.30337081025937,149.408087917814,3
2,2,1,4.42338994869715,-135.561410955097,3
3,2,0,5.27631678643229,-135.197384542823,3
3,2,0,4.88993949053656,21.7406036013097,1
3,3,1,3.65034767659745,-133.8514486659,4
3,2,0,3.79691158735841,24.8931519031563,1
2,4,0,4.58339061280822,175.873323590697,3
2,2,1,3.59694630219019,-9.43147608762347,1
4,2,0,3.69039168896779,-139.203326305964,3
4,4,1,4.68992198218621,167.888853135307,3
1,1,1,3.54371940755482,84.1915380176173,2
2,3,0,4.33006832784667,108.657363672347,2
1,3,0,4.99644640859879,19.5071289122518,1
3,3,1,3.8768710162858,-13.7729475002525,1
4,4,1,4.90324613873054,-81.2695602733331,4
2,1,0,3.70369773342281,-105.751598376172,4
4,4,1,4.31674205822674,-138.50560233948,3
3,1,0,4.35685429278965,-108.116142053364,4
4,4,1,4.09025162216494,-161.575431670202,3
2,2,1,4.29014657206062,113.592096919228,2
3,3,1,4.02356533406964,37.6188871325043,1
1,3,0,5.04984265124767,50.686932326906,2
3,4,0,4.96972413782714,-45.683167336272,4
4,4,1,3.67686528078957,-48.678188303966,4
2,4,0,4.88994220735003,147.185098910342,3
3,3,1,3.9436104331653,124.448546667271,2
3,3,1,3.8635055038103,-114.641741435316,4
4,4,1,3.67702195033962,-68.7699462626406,4
4,2,0,5.60949677076496,-125.728241873083,4
4,4,1,4.50332251136024,-156.943343293261,3
1,1,1,5.19631932212542,51.4478696274952,2
1,1,1,4.30351178266756,106.415106177777,2
1,2,0,3.3571178236507,172.649283850787,3
3,3,1,4.15675407257913,-48.9565032832424,4
2,4,0,3.7569587391572,53.1370404848955,2
1,1,1,3.90341216618981,47.5287465159909,2
1,1,1,4.14340395537874,79.335704727431,2
3,4,0,3.46369809566568,42.2060541753251,1
3,3,1,4.76975613584546,-51.5880705534142,4
3,3,1,4.30331466279131,33.7845927069864,1
4,3,0,3.7969019275788,171.839376044623,3
1,1,1,3.57037768228656,-27.9234890028713,1
2,3,0,3.4637261693988,117.594994423765,2
2,2,1,5.31457016115019,-121.073300425499,4
1,3,0,4.71555938593519,156.945426473927,3
1,1,1,3.90355677175467,178.413672510009,3
1,2,0,5.43628918448667,10.2981625647499,1
1,3,0,5.96943334656316,23.3749917276365,1
3,3,1,5.9560330788081,-22.5965342158806,1
3,2,0,5.19642738012408,-28.5033980128912,1
2,2,1,3.6102919224395,0.444889028272375,1
3,1,0,3.86346856562523,-16.7533565065864,1
2,2,1,3.50368657543004,36.686499641662,1
3,3,1,4.58324777862072,-42.4293410742852,1
3,2,0,4.39669121364932,-112.600053042187,4
4,4,1,3.4636837982398,-164.361247886634,3
3,4,0,3.37017775557251,-112.648198102888,4
4,4,1,4.58318770668484,17.3050933389458,1
1,1,1,4.80974735071868,-168.593532191657,3
1,3,0,5.39621335499032,64.7434450894549,2
3,3,1,4.70315830464097,-22.7442107058759,1
4,3,0,4.46332276288376,-157.967404941112,3
4,4,1,3.55691151766223,-46.9584661952363,4
1,2,0,4.62314701474315,-77.0718181750429,4
3,1,0,4.9297577953912,36.5392752910902,1
3,2,0,4.38324294871927,177.748688991662,3
4,2,0,4.07673752035771,-62.5944861447001,4
3,1,0,5.27619264677196,-91.00454203851,4
1,1,1,3.57018771725052,-115.390674077308,4
1,3,0,5.20963143301924,-56.2176369436457,4
3,3,1,6.14262375497856,27.1558663804761,1
2,4,0,4.20998612912081,-47.6175888595919,4
2,1,0,3.62346276973767,47.573073139117,2
3,3,1,3.6101841551972,167.426201016086,3
1,1,1,3.98344429535427,92.400070317262,2
3,4,0,3.98338844958562,98.6497742867769,2
4,3,0,5.66279781265985,45.2480073106473,2
1,1,1,3.66360229360362,68.653932952763,2
3,2,0,4.21003563563863,139.300506998888,3
3,3,1,5.20971957877191,-127.226967421376,4
2,2,1,3.49017552174337,43.0483835914487,1
2,1,0,5.50281538143463,175.382934586023,3
1,1,1,3.45029711458483,129.421765128802,2
3,3,1,3.71696911426989,57.816141931726,2
4,3,0,4.23669882075046,113.814533149676,2
4,2,0,3.41032271307631,-25.5328335790764,1
2,1,0,5.50289537672506,-42.9513464305716,1
