trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat,movie1,movie2,movie3,movie4,correctresponse
1,"1151-sin-37.5Hz-ninety.avi","ninety","sin-ninety-acoustic19.wav","Gamma",90,"acoustic","1151-sin-37.5Hz-ninety.avi","1156-sin-37.5Hz-ninety.avi","1155-sin-37.5Hz-ninety.avi","1157-sin-37.5Hz-ninety.avi",1
2,"1001-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-dar10.wav","Theta",180,"dar","1001-sin-4Hz-ninety.avi","1004-sin-4Hz-ninety.avi","1008-sin-4Hz-ninety.avi","1017-sin-4Hz-ninety.avi",1
3,"1017-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-dar2.wav","Theta",0,"dar","1001-sin-4Hz-ninety.avi","1004-sin-4Hz-ninety.avi","1008-sin-4Hz-ninety.avi","1017-sin-4Hz-ninety.avi",4
4,"1171-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-choir5.wav","Gamma",180,"choir","1171-sin-37.5Hz-ninety.avi","1183-sin-37.5Hz-ninety.avi","1179-sin-37.5Hz-ninety.avi","1178-sin-37.5Hz-ninety.avi",1
5,"1157-sin-37.5Hz-ninety.avi","zero","sin-zero-acoustic13.wav","Gamma",0,"acoustic","1156-sin-37.5Hz-ninety.avi","1155-sin-37.5Hz-ninety.avi","1151-sin-37.5Hz-ninety.avi","1157-sin-37.5Hz-ninety.avi",4
6,"1179-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-choir23.wav","Gamma",270,"choir","1178-sin-37.5Hz-ninety.avi","1183-sin-37.5Hz-ninety.avi","1179-sin-37.5Hz-ninety.avi","1171-sin-37.5Hz-ninety.avi",3
7,"1178-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-choir6.wav","Gamma",180,"choir","1178-sin-37.5Hz-ninety.avi","1179-sin-37.5Hz-ninety.avi","1183-sin-37.5Hz-ninety.avi","1171-sin-37.5Hz-ninety.avi",1
8,"1155-sin-37.5Hz-ninety.avi","ninety","sin-ninety-acoustic22.wav","Gamma",90,"acoustic","1157-sin-37.5Hz-ninety.avi","1155-sin-37.5Hz-ninety.avi","1156-sin-37.5Hz-ninety.avi","1151-sin-37.5Hz-ninety.avi",2
9,"1008-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-dar4.wav","Theta",0,"dar","1017-sin-4Hz-ninety.avi","1004-sin-4Hz-ninety.avi","1008-sin-4Hz-ninety.avi","1001-sin-4Hz-ninety.avi",3
10,"1156-sin-37.5Hz-ninety.avi","zero","sin-zero-acoustic14.wav","Gamma",0,"acoustic","1157-sin-37.5Hz-ninety.avi","1156-sin-37.5Hz-ninety.avi","1151-sin-37.5Hz-ninety.avi","1155-sin-37.5Hz-ninety.avi",2
11,"1004-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-dar8.wav","Theta",180,"dar","1008-sin-4Hz-ninety.avi","1001-sin-4Hz-ninety.avi","1004-sin-4Hz-ninety.avi","1017-sin-4Hz-ninety.avi",3
12,"1183-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-choir11.wav","Gamma",270,"choir","1183-sin-37.5Hz-ninety.avi","1171-sin-37.5Hz-ninety.avi","1178-sin-37.5Hz-ninety.avi","1179-sin-37.5Hz-ninety.avi",1
