trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1118-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-guitar3.wav","Gamma",180,"guitar"
2,"1124-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-orch20.wav","Theta",180,"orch"
3,"1094-sin-37.5Hz-ninety.avi","zero","sin-zero-ep17.wav","Gamma",0,"ep"
4,"1104-sin-37.5Hz-ninety.avi","oneeighty","sin-oneeighty-guitar1.wav","Gamma",180,"guitar"
5,"1095-sin-37.5Hz-ninety.avi","ninety","sin-ninety-ep23.wav","Gamma",90,"ep"
6,"1101-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-guitar9.wav","Gamma",270,"guitar"
7,"1134-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-orch13.wav","Theta",0,"orch"
8,"1125-sin-4Hz-ninety.avi","oneeighty-4Hz","sin-oneeighty-4Hz-orch19.wav","Theta",180,"orch"
9,"1106-sin-37.5Hz-ninety.avi","twoseventy","sin-twoseventy-guitar8.wav","Gamma",270,"guitar"
10,"1078-sin-37.5Hz-ninety.avi","zero","sin-zero-ep6.wav","Gamma",0,"ep"
11,"1089-sin-37.5Hz-ninety.avi","ninety","sin-ninety-ep11.wav","Gamma",90,"ep"
12,"1137-sin-4Hz-ninety.avi","zero-4Hz","sin-zero-4Hz-orch15.wav","Theta",0,"orch"
