trialnumber,moviename,soundfolder,soundname,frequency,soundphase,soundcat
1,"1095.avi","oneeighty","sin-oneeighty-4Hz-dar15.wav","Theta",180,"dar"
2,"1146.avi","zero","sin-zero-4Hz-synth7.wav","Theta",0,"synth"
3,"1066.avi","zero","sin-zero-4Hz-dar10.wav","Theta",0,"dar"
4,"1094.avi","oneeighty","sin-oneeighty-4Hz-dar22.wav","Theta",180,"dar"
5,"1009.avi","zero","sin-zero-4Hz-choir1.wav","Theta",0,"choir"
6,"1176.avi","oneeighty","sin-oneeighty-4Hz-synth14.wav","Theta",180,"synth"
7,"1124.avi","oneeighty","sin-oneeighty-4Hz-orch16.wav","Theta",180,"orch"
8,"1187.avi","oneeighty","sin-oneeighty-4Hz-synth15.wav","Theta",180,"synth"
9,"1125.avi","oneeighty","sin-oneeighty-4Hz-orch24.wav","Theta",180,"orch"
10,"1101.avi","zero","sin-zero-4Hz-orch11.wav","Theta",0,"orch"
11,"1013.avi","zero","sin-zero-4Hz-choir2.wav","Theta",0,"choir"
12,"1052.avi","zero","sin-zero-4Hz-dar5.wav","Theta",0,"dar"
13,"1040.avi","oneeighty","sin-oneeighty-4Hz-choir18.wav","Theta",180,"choir"
14,"1148.avi","zero","sin-zero-4Hz-synth4.wav","Theta",0,"synth"
15,"1033.avi","oneeighty","sin-oneeighty-4Hz-choir15.wav","Theta",180,"choir"
16,"1102.avi","zero","sin-zero-4Hz-orch8.wav","Theta",0,"orch"
